,Reviews
438,"
It’s a nice tripod, the legs are really soft and flexible. However the only down side is my phone can only be held horizontally, there’s no way for it to be standing vertically on the tripod unless you wrap it around a pole.
"
439,"
You can stand it up, wrap it around things, hold the camera for walking around taking videos it’s great. It works with my Nikon and my iPhone
"
440,"
El producto cumple lo que promete, se puede ubicar en cualquier sitio siempre y cuando se ajuste correctamente. Una vez que lo deformas se complica hacer totalmente rectas las patas pero pueden moldearse de ma forma que quieras.
"
441,"
Worked great with my Nikon 5200. Stable while placed on the stairs to take a time delay photo. Downside cannot pivot the head while attempted to use a selfie stick with phone.
"
442,"
I received this a few days ago and I know I will get good use out of it.  It seems to be well made and is sturdy.
"
443,"
Me gustó, muy útil para varias posiciones y aguanta perfecto una réflex
"
444,"
Great product. Can hang it on virtually anything or use it as a tripod
"
445,"
I loved it...until the part that holds your phone cracked...and broke. Tried fixing with gorilla glue but broke again! Will not buy again
"
446,"
It fits well with my Canon T6 and steady. The phone attachment has a soft lining which protects the screen. AND most importantly great price!
"
447,"
I bought this tripod for my phone and the attachment holds my phone perfectly and it's super secure, the tripod itself is strong and flexible and can hold up my phone up on any surface.
"
448,"
Excelente producto, me encantó y muy resistente.
"
449,"
No aguanta mucho el peso de la cámara
"
450,"
The tripod is super flexible and very sturdy for sure to be put in various position.
"
451,"
Es un gran producto el mejor que he hecho hasta ahora, espero en un futuro comprar la version 2 de este tripie
"
452,"
Love it, I 've had it for a while. love using it whenever I'm vlogging
"
453,"
Esta increíble, no pesa y lo puedes llevar a cualquier lado! Súper fácil de utilizar. Yo lo utilizo con mi cámara Eos sin problema de peso.
"
454,"
Super fast shipping, and just what I needed getting low and stabilized camera for some macro shots.
"
455,"
Tres vite mais ya pas de manette
"
456,"
Great product
"
457,"
This tripod is very flexible.  The tripod is steady even when the legs are set to unusual positions. The adjustable smartphone mount is great for different sizes of phone.
"
458,"
Easy to carry around.
"
459,"
I like it a lot. Sturdy, stable and well made.
"
460,"
Very sturdy, but wouldn't recommend for huge cameras (check the specs before). Most DSLRs fit, and the antislip rubber casing works well!
"
461,"
Perfect tripod for everyday use! Good for vlogging! BTW if you are a car enthusiast follow me on IG and Youtube @grimm_gen, I post car content!😁
"
462,"
El producto llegó en tiempo y se ve un excelente material y diseño, hasta el momento lo he usado poco pero parece muy práctico para cualquier ocasión.
"
463,"
Verygood i like it
"
464,"
Buen producto, sólido y fácil de usar
"
465,"
Love it! Super sturdy and the rubber makes it easy to wrap around the bed pole for some good steady bed footage lol
"
466,"
Money's worth in comfort
"
467,"
Love it it helped me made my videos for my channel
"
468,"
Me encantó, un agarre muy versátil, justo lo que esperaba, no los va a defraudar, quedo perfectamente con mi canon t6 e incluso tiene otro adaptador para colocar tu celular.
"
469,"
great product
"
470,"
El envio fue Excelente ademas el trípode Ufo Basic se siente super firme, buenos materiales y duraderos 👌🏻Altamente recomendado
"
471,"
Perfect product for travelling!
"
472,"
Funciona como debe ser
"
473,"
This tripod is so good, amazing for setting up pictures in trees, and can wrap around things, also good for vlogging. Light and easy for traveling. Easy to bend and put back into place, very stable. 100% recommend for A6000
"
474,"
Ya sólo usarlo para ver su durabilidad pero parece ser fuerte y versátil.
"
475,"
Love it
"
476,"
Muy buenos materiales, funcionó perfecto con el estabilizador DJI osmo mobile 2, cumple todas las funciones
"
477,"
Work as discribe.
"
478,"
Excellent Workmanship. Great Product.
"
479,"
Great for all kinds of uses: camera, lighting, sound.  High quality.  Worth every cent.
"
480,"
No remote shutter - Cheap product
"
481,"
¡Me encantó! Es súper útil, flexible y lo puedes llevar a todos lados. El tamaño es perfecto.
"
482,"
As advertised and arrived on time...
"
483,"
THE BEST MINI TRIPOD I HAVE EVER OWN.
"
484,"
Works great, as a tripod, and wrapped around a tree.
"
485,"
this product was great for the price but only lasted me a month of daily use then broke in 2 places.
"
486,"
None
"
487,"
All the stars
"
488,"
Good product
"
489,"
Great product for travekking.  Used with GoPro Hero 7
"
490,"
Love the looks and feel of it. Fits great on my Sony camera.
"
491,"
Gracias , está súper padre el producto
"
492,"
Used it to make vlogs. Didn’t disappoint.
"
493,"
Just as pictured. Fast delivery
"
494,"
Buena relación entra calidad y precioLos brazos son fuertes.
"
495,"
Great value very versatile.
"
496,"
Es muy durable! Materiales de calidad
"
497,"
Very sturdy and versatile. Exactly what I needed!
"
498,"
Love it. Strong, easy to use.
"
499,"
Il est léger et je peux  l'utiliser  de plusieurs  formes
"
500,"
Muy resistente y útil
"
501,"
Tripod is great, however, the remote is missing...
"
502,"
Fait le travail, compact!
"
503,"
Me gusti mucho y muy practico
"
504,"
used for eveything
"
505,"
Great price. Very sturdy
"
506,"
X
"
507,"
Better than gorilla pod
"
508,"
Great quality, strong but light weight
"
509,"
Loving the tripod.
"
510,"
Hold camera very well and phone.  Love it
"
511,"
Cool tool
"
512,"
super functional & well built
"
513,"
Good quality
"
514,"
Es muy fácil de usar
"
515,"
For jewellery photography
"
516,"
Very good quality.
"
517,"
I actually loving it
"
518,"
Nice
"
519,"
vlogging
"
520,"
like it
"
521,"
Works with DSLR and mobile
"
522,"
Utilisé avec caméra GoPro. Parfait.
"
523,"
Good quality
"
524,"
I received this tripod today only, and i am quite satisfied with it, plastic quality is nice, phone mount is nice, legs are sturdy and flexible, perfect for beginners, after going through so many products, like adofy and other, i went for this . And i am glad i did.  Big cameras could be a concern but entry level or mirror less cameras are good.
"
525,"
When I read the comments I was expecting the to be much more sturdy than it was. It has dropped my camera twice and once even to the point it needed repair. I wish the legs were a bit longer and stronger. I wouldn’t purchase this again.
"
526,"
Value for money product. It has a good grip and product feels and looks like it’s a quality product.
"
